"period";"id";"flattr.url";"url";"title";"clicks";"revenue";"clicks.total"
"2013-03";1219152;"https://flattr.com/thing/1219152/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/4333961";"Post by konscience on App.net";1;0,07;1
"2013-03";1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";1;0,06;48
"2013-03";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";1;0,06;168
"2013-03";1215316;"https://flattr.com/thing/1215316/Empfehlungen";"http://www.konscience.de/empfehlungen/";"Empfehlungen";1;0,06;1
"2013-03";1215317;"https://flattr.com/thing/1215317/Impressum";"http://www.konscience.de/?page_id=42";"Impressum";1;0,06;1
"2013-03";1218144;"https://flattr.com/thing/1218144/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/4336879";"Post by konscience on App.net";1;0,04;1
"2013-04";1280133;"https://flattr.com/thing/1280133/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/podcast/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";1;1,13;2
"2013-04";1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";5;0,81;168
"2013-04";1265883;"https://flattr.com/thing/1265883/KNS001-Der-Anfang-ist-gemacht";"http://www.konscience.de/2013/04/18/kns001-der-anfang-ist-gemacht/";"KNS001 – Der Anfang ist gemacht";4;0,63;14
"2013-04";1270005;"https://flattr.com/thing/1270005/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/2013/04/20/kns002-podcast-krabbelgruppe-und-katrins-projekt/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";3;0,55;11
"2013-04";1224259;"https://flattr.com/thing/1224259/KNS000-Teaser";"http://www.konscience.de/2013/03/30/kns000-teaser/";"KNS000 – Teaser";3;0,31;11
"2013-04";1224264;"https://flattr.com/thing/1224264/Kommentarregeln";"http://www.konscience.de/impressum/kommetarregeln/";"Kommentarregeln";2;0,22;2
"2013-04";1266395;"https://flattr.com/thing/1266395/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/4868820";"Post by konscience on App.net";2;0,22;2
"2013-04";1270357;"https://flattr.com/thing/1270357/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/4922294";"Post by konscience on App.net";1;0,18;1
"2013-04";1224267;"https://flattr.com/thing/1224267/Danksagungen";"http://www.konscience.de/danksagungen/";"Danksagungen";1;0,18;1
"2013-04";1224266;"https://flattr.com/thing/1224266/Kontakt";"http://www.konscience.de/impressum/kontakt/";"Kontakt";1;0,18;1
"2013-04";1271934;"https://flattr.com/thing/1271934/Post-by-konscience-on-App-net";"https://alpha.app.net/konscience/post/4925286";"Post by konscience on App.net";1;0,05;1
